location_id,postal_code,city,state,country
1,833102,Chakradharpur,Jharkhand,In
2,560043,Bangalore Urban,Karnataka,In
3,721657,Haldia,West Bengal,In
4,580004,Dharwad,Karnataka,In
5,803121,Rajgir,Bihar,In
6,400074,Mumbai,Maharashtra,In
7,392140,Vadodara,Gujarat,In
8,606003,Virudhachalam,Tamil Nadu,In
9,121004,Haryana,Haryana,In
10,402203,Alibag,Maharashtra,In
11,854107,Katihar,Bihar,In
12,700123,Kolkata,West Bengal,In
13,625110,Madurai,Tamil Nadu,In
14,250103,Meerut,Uttar Pradesh,In
15,763004,Sunabeda,Odisha,In
16,530016,Vizag,Andhra Pradesh,In
17,263139,Nainital,Uttarakhand,In
18,686016,Perumbaikad - Kottayam,Kerala,In
19,421201,Dombivli (East),Maharashtra,In
20,422222,Nashik,Maharashtra,In
21,577136,(Chikmagalur Disterict).     (N.R Pur Thaluku),Karnataka,In
22,600004,Chennai 600004,Tamil Nadu,In
23,560053,Bengaluru,Karnataka,In
24,768109,Debagarh,Odisha,In
25,632404,Ranipet,Tamil Nadu,In
26,241124,Shahabad Hardoi District,Uttar Pradesh,In
27,632513,Walajapet,Tamil Nadu,In
28,401208,Vasai Road,Maharashtra,In
29,685585,Thodupuzha,Kerala,In
30,502278,Gajwel,Telangana,In
31,413606,Umarga,Maharashtra,In
32,643231,Coonoor,Tamil Nadu,In
33,227801,Sultanpur,Uttar Pradesh,In
34,736171,Coochbehar,West Bengal,In
35,273310,Maharajganj,Uttar Pradesh,In
36,425002,Jalgaon,Maharashtra,In
37,431136,"Bajajnagar, Aurangabad.",Maharashtra,In
38,695606,Thiruvananthapuram,Kerala,In
39,110023,South West Delhi,Delhi,In
40,110078,Delhi,Delhi,In
41,560109,Bengaluru,Karnataka,In
42,626138,Srivilliputhur,Tamil Nadu,In
43,855108,Kishanganj,Bihar,In
44,485334,Chitrakoot,Madhya Pradesh,In
45,582117,Mulgund,Karnataka,In
46,679340,Palakkad,Kerala,In
47,796012,Aizawl,Mizoram,In
48,584122,Lingsugur,Karnataka,In
49,396195,Vapi,Gujarat,In
50,686008,Kottayam,Kerala,In
51,205262,Bhogaon,Uttar Pradesh,In
52,263148,Kichha,Uttarakhand,In
53,453331,Indore,Madhya Pradesh,In
54,110025,Delhi,Delhi,In
55,500039,Hyderabad,Telangana,In
56,571316,Sidco Industrial Estate Badanguppe Kellambali,Karnataka,In
57,122002,Gurugram 122002,Haryana,In
58,403406,Ponda,Goa,In
59,224204,Bikapur,Uttar Pradesh,In
60,631001,Vellore,Tamil Nadu,In
61,628904,Thoothukkudi,Tamil Nadu,In
62,770016,Baragaon,Odisha,In
63,502255,Yeldurthy,Telangana,In
64,400702,"Navi Mumbai, Village,Jaskhar Uran Raigad",Maharashtra,In
65,560008,Bengaluru,Karnataka,In
66,670593,Irikkur,Kerala,In
67,136021,Fatehpur Pundri,Haryana,In
68,335001,Sriganganagar,Rajasthan,In
